Timestamp,Holiday
2015-01-01,New year
2015-01-06,Epiphany
2015-04-06,Easter Monday
2015-04-25,Liberation Day
2015-05-01,International Workers' Day
2015-06-02,Republic Day
2015-08-15,Assumption of Mary to Heaven
2015-11-01,All Saints Day
2015-12-08,Immaculate Conception
2015-12-25,Christmas Day
2015-12-26,St Stephen's Day
2016-01-01,New year
2016-01-06,Epiphany
2016-03-28,Easter Monday
2016-04-25,Liberation Day
2016-05-01,International Workers' Day
2016-06-02,Republic Day
2016-08-15,Assumption of Mary to Heaven
2016-11-01,All Saints Day
2016-12-08,Immaculate Conception
2016-12-25,Christmas Day
2016-12-26,St Stephen's Day
2017-01-01,New year
2017-01-06,Epiphany
2017-04-17,Easter Monday
2017-04-25,Liberation Day
2017-05-01,International Workers' Day
2017-06-02,Republic Day
2017-08-15,Assumption of Mary to Heaven
2017-11-01,All Saints Day
2017-12-08,Immaculate Conception
2017-12-25,Christmas Day
2017-12-26,St Stephen's Day
