,timestamp,holiday
0,2015-01-01,New year
1,2015-01-06,Epiphany
2,2015-04-06,Easter Monday
3,2015-04-25,Liberation Day
4,2015-05-01,International Workers' Day
5,2015-06-02,Republic Day
6,2015-08-15,Assumption of Mary to Heaven
7,2015-11-01,All Saints Day
8,2015-12-08,Immaculate Conception
9,2015-12-25,Christmas Day
10,2015-12-26,St Stephen's Day
11,2016-01-01,New year
12,2016-01-06,Epiphany
13,2016-03-28,Easter Monday
14,2016-04-25,Liberation Day
15,2016-05-01,International Workers' Day
16,2016-06-02,Republic Day
17,2016-08-15,Assumption of Mary to Heaven
18,2016-11-01,All Saints Day
19,2016-12-08,Immaculate Conception
20,2016-12-25,Christmas Day
21,2016-12-26,St Stephen's Day
